,CVE_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA
7209,F36625,2021-11-11 00:00:00,2022-01-08,
7210,F36626,2021-11-09 00:00:00,2021-11-09,
7211,F36627,2021-11-10 00:00:00,2021-11-10,2021-11-10
7212,F36628,2021-11-08 00:00:00,2021-11-10,
7213,F36629,2021-11-09 00:00:00,2021-12-10,
7214,F36630,2021-11-08 00:00:00,2021-12-10,
7215,F36631,2021-11-09 00:00:00,2021-11-10,
7216,F36632,2021-10-28 00:00:00,2021-11-10,
7217,F36633,2021-11-10 00:00:00,2021-11-10,
7218,F36634,2021-10-26 00:00:00,2021-11-10,
7219,F36635,2021-11-10 00:00:00,2021-11-10,
7220,F36636,2021-11-10 00:00:00,2021-11-10,
7221,F36637,2021-11-10 00:00:00,2021-11-10,
7222,F36638,2021-11-11 00:00:00,2021-11-11,
7223,F36639,2021-11-11 00:00:00,2021-11-11,
7224,F36640,2021-11-11 00:00:00,2021-11-11,
7225,F36641,2021-11-03 00:00:00,2021-12-11,
7226,F36642,2021-11-12 00:00:00,2021-11-26,
7227,F36643,2021-11-11 00:00:00,2021-11-11,
7228,F36644,2021-11-11 00:00:00,2021-11-11,
7229,F36645,2021-09-17 00:00:00,2021-12-11,
7230,F36646,2021-11-09 00:00:00,2021-11-11,
7231,F36647,2021-11-11 00:00:00,2021-11-11,
7232,F36648,2021-11-11 00:00:00,2021-11-11,
7233,F36649,2021-11-11 00:00:00,2021-11-11,
7234,F36650,2021-11-11 00:00:00,2021-11-11,
7235,F36651,2021-11-12 00:00:00,2021-11-27,
7236,F36652,2021-11-08 00:00:00,2021-11-27,
7237,F36653,2021-11-08 00:00:00,2021-11-27,
7238,F36654,2021-11-12 00:00:00,2021-11-12,
7239,F36655,2021-11-12 00:00:00,2021-11-12,
7240,F36656,2021-10-29 00:00:00,2021-11-12,
7241,F36657,2021-10-29 00:00:00,2021-11-12,
7242,F36658,2021-10-29 00:00:00,2021-11-12,2021-11-12
7243,F36659,2021-11-12 00:00:00,2021-11-12,
7244,F36660,2021-11-12 00:00:00,2021-11-12,
7245,F36661,2021-11-12 00:00:00,2021-11-12,
7246,F36662,2021-11-12 00:00:00,2021-11-12,
7247,F36663,2021-11-12 00:00:00,2021-11-12,
7248,F36664,2021-11-12 00:00:00,2021-11-12,
7249,F36665,2021-11-08 00:00:00,2021-11-12,2021-11-12
7250,F36666,2021-11-12 00:00:00,2021-11-12,
7251,F36667,2021-11-12 00:00:00,2021-11-12,
7252,F36668,2021-11-12 00:00:00,2021-11-12,
7253,F36669,2021-11-12 00:00:00,2021-11-12,
7254,F36670,2021-11-12 00:00:00,2021-11-12,
7255,F36671,2021-11-12 00:00:00,2021-11-12,
7256,F36672,2021-11-12 00:00:00,2021-11-12,
7257,F36673,2021-11-12 00:00:00,2021-11-12,
7258,F36674,2021-11-12 00:00:00,2021-11-12,
7259,F36675,2021-11-16 00:00:00,2021-11-16,
7260,F36676,2021-11-16 00:00:00,2021-11-16,
7261,F36677,2021-11-12 00:00:00,2021-11-16,
7262,F36678,2021-11-16 00:00:00,2021-11-16,
7263,F36679,2021-11-16 00:00:00,2021-11-16,
7264,F36680,2021-11-17 00:00:00,2021-11-16,
7265,F36681,2021-11-17 00:00:00,2021-11-17,
7266,F36682,2021-11-17 00:00:00,2021-12-17,
7267,F36683,2021-11-17 00:00:00,2021-11-17,
7268,F36684,2021-11-18 00:00:00,2021-11-17,
7269,F36685,2021-11-18 00:00:00,2021-11-18,
7270,F36686,2021-11-11 00:00:00,2021-11-18,
7271,F36687,2021-11-18 00:00:00,2021-11-18,
7272,F36688,2021-11-18 00:00:00,2021-12-18,
7273,F36689,2021-11-17 00:00:00,2021-12-18,
7274,F36690,2021-11-17 00:00:00,2021-12-18,
7275,F36691,2021-11-18 00:00:00,2021-11-18,
7276,F36692,2021-11-15 00:00:00,2021-12-18,
7277,F36693,2021-11-15 00:00:00,2021-12-18,
7278,F36694,2021-11-15 00:00:00,2021-12-18,
7279,F36695,2021-11-15 00:00:00,2021-12-18,
7280,F36696,2021-11-15 00:00:00,2021-12-18,
7281,F36697,2021-11-15 00:00:00,2021-12-18,
7282,F36698,2021-11-18 00:00:00,2021-11-18,
7283,F36699,2021-11-10 00:00:00,2021-11-18,
7284,F36700,2021-11-05 00:00:00,2021-12-03,
7285,F36701,2021-11-16 00:00:00,2021-12-18,
7286,F36702,2021-11-12 00:00:00,2022-01-17,2021-11-18
7287,F36703,2021-11-12 00:00:00,2021-11-18,
7288,F36704,2021-11-18 00:00:00,2021-11-18,
7289,F36705,2021-11-18 00:00:00,2021-12-18,
7290,F36706,2021-11-12 00:00:00,2021-11-18,
7291,F36707,2021-11-18 00:00:00,2021-11-18,
7292,F36708,2021-11-19 00:00:00,2021-11-19,
7293,F36709,2021-11-19 00:00:00,2021-11-19,
7294,F36710,2021-11-19 00:00:00,2021-12-19,
7295,F36711,2021-11-17 00:00:00,2021-11-19,
7296,F36712,2021-11-19 00:00:00,2021-11-19,
7297,F36713,2021-11-12 00:00:00,2022-01-18,
7298,F36714,2021-11-19 00:00:00,2021-11-19,
7299,F36715,2021-11-19 00:00:00,2021-11-19,
7300,F36716,2021-11-19 00:00:00,2021-11-19,
7301,F36717,2021-10-22 00:00:00,2021-12-04,
7302,F36718,2021-11-22 00:00:00,2021-12-22,2021-11-22
7303,F36719,2021-11-17 00:00:00,2021-12-22,2021-11-25
7304,F36720,2021-11-22 00:00:00,2021-11-22,
7305,F36721,2021-11-10 00:00:00,2021-11-22,
7306,F36722,2021-11-22 00:00:00,2021-12-22,
7307,F36723,2021-11-12 00:00:00,2021-11-22,
7308,F36724,2021-11-22 00:00:00,2021-11-22,
7309,F36725,2021-11-17 00:00:00,2021-11-22,
7310,F36726,2021-11-22 00:00:00,2021-11-22,
7311,F36727,2021-11-22 00:00:00,2021-11-22,
7312,F36728,2021-11-20 00:00:00,2021-12-22,
7313,F36729,2021-11-17 00:00:00,2021-12-23,
7314,F36730,2021-11-23 00:00:00,2021-11-23,
7315,F36731,2021-11-19 00:00:00,2021-12-08,
7316,F36732,2021-11-23 00:00:00,2021-12-08,
7317,F36733,2021-11-23 00:00:00,2021-11-23,
7318,F36734,2021-11-23 00:00:00,2021-11-23,
7319,F36735,2021-11-23 00:00:00,2021-11-23,
7320,F36736,2021-11-23 00:00:00,2021-12-23,
7321,F36737,2021-11-22 00:00:00,2021-11-23,
7322,F36738,2021-11-23 00:00:00,2021-12-08,
7323,F36739,2021-11-23 00:00:00,2021-11-23,
7324,F36740,2021-11-24 00:00:00,2021-11-24,
7325,F36741,2021-11-24 00:00:00,2021-11-24,
7326,F36742,2021-11-24 00:00:00,2021-11-24,
7327,F36743,2021-11-24 00:00:00,2021-11-24,
7328,F36744,2021-11-24 00:00:00,2021-11-24,
7329,F36745,2021-11-23 00:00:00,2021-11-24,
7330,F36746,2021-11-24 00:00:00,2021-11-24,
7331,F36747,2021-11-25 00:00:00,2021-11-24,
7332,F36748,2021-11-22 00:00:00,2021-12-24,
7333,F36749,2021-11-24 00:00:00,2021-11-24,
7334,F36750,2021-11-24 00:00:00,2021-11-24,
7335,F36751,2021-11-24 00:00:00,2021-11-24,
7336,F36752,2021-11-16 00:00:00,2021-11-24,
7337,F36753,2021-11-24 00:00:00,2021-11-24,
7338,F36754,2021-11-24 00:00:00,2021-11-24,
7339,F36755,2021-11-24 00:00:00,2021-12-25,
7340,F36756,2021-11-25 00:00:00,2021-11-25,
7341,F36757,2021-11-23 00:00:00,2021-11-25,
7342,F36758,2021-11-25 00:00:00,2021-12-25,
7343,F36759,2021-11-25 00:00:00,2021-11-25,
7344,F36760,2021-11-08 00:00:00,2021-11-25,
7345,F36761,2021-11-24 00:00:00,2021-12-25,
7346,F36762,2021-11-19 00:00:00,2021-11-25,
7347,F36763,2021-11-25 00:00:00,2021-11-25,
7348,F36764,2021-11-25 00:00:00,2021-11-25,
7349,F36765,2021-11-17 00:00:00,2021-12-25,
7350,F36766,2021-11-26 00:00:00,2021-12-25,
7351,F36767,2021-10-29 00:00:00,2022-01-09,
7352,F36768,2021-11-25 00:00:00,2021-11-25,
7353,F36769,2021-11-25 00:00:00,2021-11-25,
7354,F36770,2021-11-26 00:00:00,2021-11-25,
7355,F36771,2021-11-26 00:00:00,2021-12-11,
7356,F36772,2021-11-26 00:00:00,2021-12-11,
